,fare,name_from,name_to,node_from,node_to,key
366,154,Coliseum/Oakland Airport,Rockridge,15532,15506,1550615532
367,150,Coliseum/Oakland Airport,MacArthur,15532,15507,1550715532
368,129,Coliseum/Oakland Airport,19th St Oakland,15532,15508,1550815532
369,129,Coliseum/Oakland Airport,12th St Oakland City Center,15532,15509,1550915532
370,147,Coliseum/Oakland Airport,West Oakland,15532,15510,1551015532
371,283,Coliseum/Oakland Airport,Embarcadero,15532,15511,1551115532
372,283,Coliseum/Oakland Airport,Montgomery,15532,15512,1551215532
373,283,Coliseum/Oakland Airport,Powell,15532,15513,1551315532
374,283,Coliseum/Oakland Airport,Civic Center,15532,15514,1551415532
375,290,Coliseum/Oakland Airport,16th St Mission,15532,15515,1551515532
376,294,Coliseum/Oakland Airport,24th St Mission,15532,15516,1551615532
377,304,Coliseum/Oakland Airport,Glen Park,15532,15517,1551715532
378,308,Coliseum/Oakland Airport,Balboa Park,15532,15518,1551815532
379,318,Coliseum/Oakland Airport,Daly City,15532,15519,1551915532
380,315,Coliseum/Oakland Airport,Colma,15532,15539,1553215539
381,329,Coliseum/Oakland Airport,South San Francisco,15532,15540,1553215540
382,346,Coliseum/Oakland Airport,San Bruno,15532,15541,1553215541
383,658,Coliseum/Oakland Airport,SFO,15532,15542,1553215542
384,367,Coliseum/Oakland Airport,Millbrae,15532,15543,1553215543
385,129,Fruitvale,Lake Merritt,15533,15534,1553315534
386,217,Fruitvale,Richmond,15533,15520,1552015533
387,203,Fruitvale,El Cerrito Del Norte,15533,15521,1552115533
388,185,Fruitvale,El Cerrito Plaza,15533,15522,1552215533
389,164,Fruitvale,North Berkeley,15533,15524,1552415533
390,154,Fruitvale,Berkeley,15533,15523,1552315533
391,143,Fruitvale,Ashby,15533,15525,1552515533
392,332,Fruitvale,Pittsburg/ Bay Point,15533,15536,1553315536
393,297,Fruitvale,North Concord,15533,15535,1553315535
394,283,Fruitvale,Concord,15533,15501,1550115533
395,255,Fruitvale,Pleasant Hill,15533,15502,1550215533
396,248,Fruitvale,Walnut Creek,15533,15503,1550315533
397,224,Fruitvale,Lafayette,15533,15504,1550415533
398,185,Fruitvale,Orinda,15533,15505,1550515533
399,133,Fruitvale,Rockridge,15533,15506,1550615533
400,129,Fruitvale,MacArthur,15533,15507,1550715533
401,129,Fruitvale,19th St Oakland,15533,15508,1550815533
402,129,Fruitvale,12th St Oakland City Center,15533,15509,1550915533
403,129,Fruitvale,West Oakland,15533,15510,1551015533
404,262,Fruitvale,Embarcadero,15533,15511,1551115533
405,262,Fruitvale,Montgomery,15533,15512,1551215533
406,262,Fruitvale,Powell,15533,15513,1551315533
407,262,Fruitvale,Civic Center,15533,15514,1551415533
408,273,Fruitvale,16th St Mission,15533,15515,1551515533
409,280,Fruitvale,24th St Mission,15533,15516,1551615533
410,290,Fruitvale,Glen Park,15533,15517,1551715533
411,297,Fruitvale,Balboa Park,15533,15518,1551815533
412,304,Fruitvale,Daly City,15533,15519,1551915533
413,301,Fruitvale,Colma,15533,15539,1553315539
414,315,Fruitvale,South San Francisco,15533,15540,1553315540
415,332,Fruitvale,San Bruno,15533,15541,1553315541
416,644,Fruitvale,SFO,15533,15542,1553315542
417,353,Fruitvale,Millbrae,15533,15543,1553315543
418,196,Lake Merritt,Richmond,15534,15520,1552015534
419,171,Lake Merritt,El Cerrito Del Norte,15534,15521,1552115534
420,154,Lake Merritt,El Cerrito Plaza,15534,15522,1552215534
421,133,Lake Merritt,North Berkeley,15534,15524,1552415534
422,129,Lake Merritt,Berkeley,15534,15523,1552315534
423,129,Lake Merritt,Ashby,15534,15525,1552515534
424,322,Lake Merritt,Pittsburg/ Bay Point,15534,15536,1553415536
425,287,Lake Merritt,North Concord,15534,15535,1553415535
426,273,Lake Merritt,Concord,15534,15501,1550115534
427,248,Lake Merritt,Pleasant Hill,15534,15502,1550215534
428,238,Lake Merritt,Walnut Creek,15534,15503,1550315534
429,206,Lake Merritt,Lafayette,15534,15504,1550415534
430,164,Lake Merritt,Orinda,15534,15505,1550515534
431,129,Lake Merritt,Rockridge,15534,15506,1550615534
432,129,Lake Merritt,MacArthur,15534,15507,1550715534
433,129,Lake Merritt,19th St Oakland,15534,15508,1550815534
434,129,Lake Merritt,12th St Oakland City Center,15534,15509,1550915534
435,129,Lake Merritt,West Oakland,15534,15510,1551015534
436,231,Lake Merritt,Embarcadero,15534,15511,1551115534
437,231,Lake Merritt,Montgomery,15534,15512,1551215534
438,231,Lake Merritt,Powell,15534,15513,1551315534
439,231,Lake Merritt,Civic Center,15534,15514,1551415534
440,245,Lake Merritt,16th St Mission,15534,15515,1551515534
441,252,Lake Merritt,24th St Mission,15534,15516,1551615534
442,269,Lake Merritt,Glen Park,15534,15517,1551715534
443,276,Lake Merritt,Balboa Park,15534,15518,1551815534
444,287,Lake Merritt,Daly City,15534,15519,1551915534
445,283,Lake Merritt,Colma,15534,15539,1553415539
446,297,Lake Merritt,South San Francisco,15534,15540,1553415540
447,315,Lake Merritt,San Bruno,15534,15541,1553415541
448,626,Lake Merritt,SFO,15534,15542,1553415542
449,336,Lake Merritt,Millbrae,15534,15543,1553415543
450,129,Richmond,El Cerrito Del Norte,15520,15521,1552015521
451,129,Richmond,El Cerrito Plaza,15520,15522,1552015522
