,fare,name_from,name_to,node_from,node_to,key,
115,339,Castro Valley,Civic Center,15537,15514,1551415537,15537   15514   339  ;Castro Valley to Civic Center
116,346,Castro Valley,16th St Mission,15537,15515,1551515537,15537   15515   346  ;Castro Valley to 16th St Mission
117,350,Castro Valley,24th St Mission,15537,15516,1551615537,15537   15516   350  ;Castro Valley to 24th St Mission
118,360,Castro Valley,Glen Park,15537,15517,1551715537,15537   15517   360  ;Castro Valley to Glen Park
119,364,Castro Valley,Balboa Park,15537,15518,1551815537,15537   15518   364  ;Castro Valley to Balboa Park
120,371,Castro Valley,Daly City,15537,15519,1551915537,15537   15519   371  ;Castro Valley to Daly City
121,371,Castro Valley,Colma,15537,15539,1553715539,15537   15539   371  ;Castro Valley to Colma
122,381,Castro Valley,South San Francisco,15537,15540,1553715540,15537   15540   381  ;Castro Valley to South San Francisco
123,399,Castro Valley,San Bruno,15537,15541,1553715541,15537   15541   399  ;Castro Valley to San Bruno
124,710,Castro Valley,SFO,15537,15542,1553715542,15537   15542   710  ;Castro Valley to SFO
125,423,Castro Valley,Millbrae,15537,15543,1553715543,15537   15543   423  ;Castro Valley to Millbrae
126,129,Fremont,Union City,15526,15527,1552615527,15526   15527   129  ;Fremont to Union City
127,129,Fremont,South Hayward,15526,15528,1552615528,15526   15528   129  ;Fremont to South Hayward
128,129,Fremont,Hayward,15526,15529,1552615529,15526   15529   129  ;Fremont to Hayward
129,129,Fremont,Bay Fair,15526,15530,1552615530,15526   15530   129  ;Fremont to Bay Fair
130,248,Fremont,San Leandro,15526,15531,1552615531,15526   15531   248  ;Fremont to San Leandro
131,269,Fremont,Coliseum/Oakland Airport,15526,15532,1552615532,15526   15532   269  ;Fremont to Coliseum/Oakland Airport
132,283,Fremont,Fruitvale,15526,15533,1552615533,15526   15533   283  ;Fremont to Fruitvale
133,301,Fremont,Lake Merritt,15526,15534,1552615534,15526   15534   301  ;Fremont to Lake Merritt
